"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4948","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Game/Vehicles/SportsCar/Materials/M_SportsCar_Lights.M_SportsCar_Lights","0","0","44","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","26","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","3.113840","0","4"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","7.152869","0","11"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","1","1","3.547953","0","8"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","1","1","2.709590","0","8"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","2","1","7.764512","0","22"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","2","1","4.533761","0","14"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","27","2","1","28.974417","0","117"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","3.312466","0","5"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","3.828526","0","5"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","36","3","1","27.743309","0","200"
"/Game/Mesh_Materials/M_Lamp.M_Lamp","0","14","1","1","22.234367","0","83"
"/Game/Mesh_Materials/MI_ProcGrid.MI_ProcGrid","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/Fbx_Default_Material.Fbx_Default_Material","0","14","1","1","0.000000","0","83"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","1","1","3.606649","0","8"
"/Game/surfaceShader5.surfaceShader5","0","14","1","1","0.000000","0","71"
"/Game/surfaceShader4.surfaceShader4","0","14","1","1","0.000000","0","71"
"/Game/surfaceShader3.surfaceShader3","0","14","1","1","0.000000","0","83"
"/Game/surfaceShader2.surfaceShader2","0","14","1","1","0.000000","0","83"
"/Game/surfaceShader1.surfaceShader1","0","14","1","1","0.000000","0","83"
"/Game/standardSurface1.standardSurface1","0","14","1","1","0.000000","0","83"
"/Game/lambert9.lambert9","0","14","1","1","0.000000","0","83"
"/Game/lambert8.lambert8","0","14","1","1","0.000000","0","92"
"/Game/lambert7.lambert7","0","14","1","1","0.000000","0","83"
"/Game/lambert6.lambert6","0","14","1","1","0.000000","0","83"
"/Game/lambert5.lambert5","0","14","1","1","0.000000","0","83"
"/Game/lambert29.lambert29","0","14","1","1","0.000000","0","83"
"/Game/lambert28.lambert28","0","14","1","1","0.000000","0","83"
"/Game/lambert27.lambert27","0","14","1","1","0.000000","0","83"
"/Game/lambert26.lambert26","0","14","1","1","0.000000","0","83"
"/Game/lambert25.lambert25","0","14","1","1","0.000000","0","83"
"/Game/lambert24.lambert24","0","14","1","1","0.000000","0","83"
"/Game/lambert23.lambert23","0","14","1","1","0.000000","0","83"
"/Game/lambert22.lambert22","0","14","1","1","0.000000","0","83"
"/Game/lambert21.lambert21","0","14","1","1","0.000000","0","83"
"/Game/lambert15.lambert15","0","14","1","1","0.000000","0","83"
"/Game/lambert14.lambert14","0","14","1","1","0.000000","0","83"
"/Game/lambert13.lambert13","0","14","1","1","0.000000","0","83"
"/Game/lambert12.lambert12","0","14","1","1","0.000000","0","83"
"/Game/lambert11.lambert11","0","14","1","1","0.000000","0","83"
"/Game/lambert10.lambert10","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/WorldGridMaterial.WorldGridMaterial","0","26","1","1","15.144647","0","170"
"/Game/Mesh_Materials/standardSurface9.standardSurface9","0","14","1","1","0.000000","0","71"
"/Game/Mesh_Materials/standardSurface8.standardSurface8","0","14","1","1","0.000000","0","73"
"/Game/Mesh_Materials/standardSurface79.standardSurface79","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface77.standardSurface77","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface76.standardSurface76","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface74.standardSurface74","0","14","1","1","0.000000","0","93"
"/Game/Mesh_Materials/standardSurface73.standardSurface73","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface70.standardSurface70","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface68.standardSurface68","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface67.standardSurface67","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface66.standardSurface66","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface65.standardSurface65","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface64.standardSurface64","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface63.standardSurface63","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface62.standardSurface62","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface61.standardSurface61","0","14","1","1","0.000000","0","71"
"/Game/Mesh_Materials/standardSurface60.standardSurface60","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface6.standardSurface6","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface59.standardSurface59","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface58.standardSurface58","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface55.standardSurface55","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface54.standardSurface54","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface53.standardSurface53","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface52.standardSurface52","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface50.standardSurface50","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface5.standardSurface5","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface49.standardSurface49","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface47.standardSurface47","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface45.standardSurface45","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface44.standardSurface44","0","14","1","1","0.000000","0","83"
"/Game/Mesh_Materials/standardSurface42.standardSurface42","0","14","1","1","0.000000","0","83"
